"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
1,"Los Lagos","Llanquihue","Puerto Montt","10101","Número personas por hogar (promedio)","2.2","2021","ADIS"
2,"Los Lagos","Llanquihue","Calbuco","10102","Número personas por hogar (promedio)","2.4","2021","ADIS"
3,"Los Lagos","Llanquihue","Cochamó","10103","Número personas por hogar (promedio)","1.9","2021","ADIS"
4,"Los Lagos","Llanquihue","Fresia","10104","Número personas por hogar (promedio)","2.4","2021","ADIS"
5,"Los Lagos","Llanquihue","Frutillar","10105","Número personas por hogar (promedio)","2.1","2021","ADIS"
6,"Los Lagos","Llanquihue","Los Muermos","10106","Número personas por hogar (promedio)","2.3","2021","ADIS"
7,"Los Lagos","Llanquihue","Llanquihue","10107","Número personas por hogar (promedio)","2.1","2021","ADIS"
8,"Los Lagos","Llanquihue","Maullín","10108","Número personas por hogar (promedio)","1.9","2021","ADIS"
9,"Los Lagos","Llanquihue","Puerto Varas","10109","Número personas por hogar (promedio)","2.1","2021","ADIS"
10,"Los Lagos","Chiloé","Castro","10201","Número personas por hogar (promedio)","2.3","2021","ADIS"
11,"Los Lagos","Chiloé","Ancud","10202","Número personas por hogar (promedio)","2.1","2021","ADIS"
12,"Los Lagos","Chiloé","Chonchi","10203","Número personas por hogar (promedio)","2.2","2021","ADIS"
13,"Los Lagos","Chiloé","Curaco de Vélez","10204","Número personas por hogar (promedio)","2.3","2021","ADIS"
14,"Los Lagos","Chiloé","Dalcahue","10205","Número personas por hogar (promedio)","2.1","2021","ADIS"
15,"Los Lagos","Chiloé","Chiloé","10206","Número personas por hogar (promedio)","2.4","2021","ADIS"
16,"Los Lagos","Chiloé","Queilén","10207","Número personas por hogar (promedio)","2.1","2021","ADIS"
17,"Los Lagos","Chiloé","Quellón","10208","Número personas por hogar (promedio)","2.3","2021","ADIS"
18,"Los Lagos","Chiloé","Quemchi","10209","Número personas por hogar (promedio)","2.1","2021","ADIS"
19,"Los Lagos","Chiloé","Quinchao","10210","Número personas por hogar (promedio)","2.5","2021","ADIS"
20,"Los Lagos","Osorno","Osorno","10301","Número personas por hogar (promedio)","2.3","2021","ADIS"
21,"Los Lagos","Osorno","Puerto Octay","10302","Número personas por hogar (promedio)","2.2","2021","ADIS"
22,"Los Lagos","Osorno","Purranque","10303","Número personas por hogar (promedio)","2.3","2021","ADIS"
23,"Los Lagos","Osorno","Puyehue","10304","Número personas por hogar (promedio)","2.4","2021","ADIS"
24,"Los Lagos","Osorno","Río Negro","10305","Número personas por hogar (promedio)","2","2021","ADIS"
25,"Los Lagos","Osorno","San Juan de la Costa","10306","Número personas por hogar (promedio)","2.2","2021","ADIS"
26,"Los Lagos","Osorno","San Pablo","10307","Número personas por hogar (promedio)","2.3","2021","ADIS"
27,"Los Lagos","Palena","Chaitén","10401","Número personas por hogar (promedio)","2.3","2021","ADIS"
28,"Los Lagos","Palena","Futaleufú","10402","Número personas por hogar (promedio)","2.3","2021","ADIS"
29,"Los Lagos","Palena","Hualaihué","10403","Número personas por hogar (promedio)","2.2","2021","ADIS"
30,"Los Lagos","Palena","Palena","10404","Número personas por hogar (promedio)","2.2","2021","ADIS"
31,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de hogares con jefatura de hogar adulto mayor",21562,"2021","ADIS"
32,"Los Lagos","Llanquihue","Calbuco","10102","N° de hogares con jefatura de hogar adulto mayor","4571","2021","ADIS"
33,"Los Lagos","Llanquihue","Cochamó","10103","N° de hogares con jefatura de hogar adulto mayor","778","2021","ADIS"
34,"Los Lagos","Llanquihue","Fresia","10104","N° de hogares con jefatura de hogar adulto mayor","1867","2021","ADIS"
35,"Los Lagos","Llanquihue","Frutillar","10105","N° de hogares con jefatura de hogar adulto mayor","2454","2021","ADIS"
36,"Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares con jefatura de hogar adulto mayor","2649","2021","ADIS"
37,"Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares con jefatura de hogar adulto mayor","2222","2021","ADIS"
38,"Los Lagos","Llanquihue","Maullín","10108","N° de hogares con jefatura de hogar adulto mayor","2628","2021","ADIS"
39,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares con jefatura de hogar adulto mayor","4334","2021","ADIS"
40,"Los Lagos","Chiloé","Castro","10201","N° de hogares con jefatura de hogar adulto mayor","4853","2021","ADIS"
41,"Los Lagos","Chiloé","Ancud","10202","N° de hogares con jefatura de hogar adulto mayor","5774","2021","ADIS"
42,"Los Lagos","Chiloé","Chonchi","10203","N° de hogares con jefatura de hogar adulto mayor","1807","2021","ADIS"
43,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares con jefatura de hogar adulto mayor","556","2021","ADIS"
